lga_id,lga,state,zone,lon,lat,area_km2
59680162B58622494857171,Ovia South-West,Edo,South South,5.2986,6.4697,2782.5
59680162B10854216301983,Ndokwa East,Delta,South South,6.4974,5.661,1608.3
59680162B31759462460359,Saki East,Oyo,South West,3.6108,8.6903,1285.1
59680162B38335311272259,Onicha,Ebonyi,South East,7.8169,6.1068,442.8
59680162B29085579275088,Ethiope East,Delta,South South,5.9605,5.6941,460.1
59680162B90915593246984,Obi,Nasarawa,North Central,8.7575,8.3763,975.1
59680162B21986463159939,Oyo East,Oyo,South West,4.0554,7.8761,109.4
59680162B35701990596564,Ivo,Ebonyi,South East,7.6154,5.9181,291.5
59680162B2904770846082,Etsako East,Edo,South South,6.516,7.1876,1142.3
59680162B32979491305099,Oshimili South,Delta,South South,6.7299,6.1278,262.5
59680162B3302114520233,Izzi,Ebonyi,South East,8.2785,6.538,1172.5
59680162B89324456878264,Isoko South,Delta,South South,6.2168,5.3832,719.8
59680162B18578493945657,Ezza South,Ebonyi,South East,7.9858,6.1126,296.2
59680162B1935816053049,Ofu,Kogi,North Central,7.0409,7.324,1564.0
59680162B16701148271715,Aniocha North,Delta,South South,6.4714,6.3645,408.7
59680162B29589714384573,Aniocha South,Delta,South South,6.4774,6.142,872.1
59680162B24636018787341,Igalamela-Odolu,Kogi,North Central,7.0965,7.0363,2092.4
59680162B99910214526625,Ibiono Ibom,Akwa Ibom,South South,7.893,5.1808,336.7
59680162B95147302907135,Obot Akara,Akwa Ibom,South South,7.6151,5.2551,255.5
59680162B3334363185534,Ogo Oluwa,Oyo,South West,4.2216,7.9755,438.2
59680162B537197556674,Atiba,Oyo,South West,3.904,8.0413,677.1
59680162B1338580155275,Ogbomosho South,Oyo,South West,4.2252,8.1058,44.5
59680162B48615386953659,Ovia North-East,Edo,South South,5.5031,6.3963,2339.3
59680162B11241948791785,Afijio,Oyo,South West,3.8865,7.743,922.5
59680162B8886032648131,Ogbomosho North,Oyo,South West,4.263,8.1342,163.9
59680162B85189896765318,Ikwerre,Rivers,South South,6.8641,5.084,671.9
59680162B89342314449475,Esit Eket,Akwa Ibom,South South,8.0803,4.6428,149.5
59680162B6299894636493,Obio/Akpor,Rivers,South South,6.9977,4.8556,265.0
59680162B93423525469915,Etche,Rivers,South South,7.0849,5.072,817.2
59680162B18672795330723,Askira Uba,Borno,North East,12.6651,10.6895,2702.6
59680162B7305913438202,Gwadabawa,Sokoto,North West,5.3172,13.4167,1014.5
59680162B39799007570945,Hadejia,Jigawa,North West,10.0642,12.4647,27.3
59680162B41078826165134,Kiri Kasama,Jigawa,North West,10.2511,12.5996,813.0
59680162B88504568355174,Konduga,Borno,North East,13.159,11.6733,5352.0
59680162B64727590098747,Jere,Borno,North East,13.1846,11.9359,798.7
59680162B38204256572023,Eti Osa,Lagos,South West,3.582,6.4574,178.9
59680162B6009908161486,Kosofe,Lagos,South West,3.3923,6.5871,61.5
59680162B6783963116345,Ibadan North,Oyo,South West,3.908,7.4222,39.4
59680162B96934818178887,Akinyele,Oyo,South West,3.9027,7.5445,419.2
59680162B23843497952419,Ido,Oyo,South West,3.7162,7.4756,744.6
59680162B17793632216798,Ibadan North West,Oyo,South West,3.8639,7.4088,29.2
59680162B83508950999506,Ibadan South West,Oyo,South West,3.8665,7.3612,24.2
59680162B26854390786792,Ibadan South East,Oyo,South West,3.9035,7.3554,16.0
59680162B79825109156569,Abeokuta South,Ogun,South West,3.3715,7.1763,66.3
59680162B54313559089261,Alimosho,Lagos,South West,3.2538,6.582,184.1
59680162B46296414727789,Ifako/Ijaye,Lagos,South West,3.3126,6.6665,32.4
59680162B53104406185271,Ikorodu,Lagos,South West,3.5937,6.5999,415.2
59680162B2266540401620,Ifo,Ogun,South West,3.1616,6.7701,522.2
59680162B78935719106444,Ikeja,Lagos,South West,3.3488,6.6065,41.2
59680162B67809263123643,Ewekoro,Ogun,South West,3.1735,6.9756,631.2
59680162B67711641000031,Ojo,Lagos,South West,3.1656,6.4633,173.2
59680162B33139344805421,Badagry,Lagos,South West,2.9666,6.4469,442.2
59680162B74248263036628,Obafemi Owode,Ogun,South West,3.4538,6.9591,1621.6
59680162B19485775159758,Ipokia,Ogun,South West,2.7904,6.6579,578.6
59680162B2835516393243,Ohimini,Benue,North Central,7.9471,7.2582,689.8
59680162B83241100924072,Ilorin West,Kwara,North Central,4.5069,8.4663,149.5
59680162B59525703418999,Asa,Kwara,North Central,4.3875,8.4421,1352.5
